Name,Frequency,Confidence,Sanskrit_Meaning,Name_Type,Source_Context,Part_Found,Page_Found,Quality_Score,Starting_Pattern
Stars,142,0.8,Name/epithet requiring verification,divine_epithet,"the most promi- nent beltower of boons, grant unto me the lordship of Planets. Constel- lations and ...",Part 6,Page 48,113.60000000000001,S
Sport,136,0.8,Name/epithet requiring verification,divine_epithet,"g with it, the Lord fascinated the Suras. The Lord of Yogic Atman reached this world through Yogic S...",Part 12,Page 62,108.80000000000001,S
Staff,135,0.8,Name/epithet requiring verification,divine_epithet,"he form of a river accompanied by a crore of Tirthas. 13. Lord Yama too, holding the Kilada1:uja (St...",Part 20,Page 215,108.0,S
Siita,133,0.8,Name/epithet requiring verification,divine_relation,"e beloved wife of Ramacandra. I worship always with my heart Sita whose limbs are blameless."" Sri Si...",Part 8,Page 318,106.4,S
Smrtis,131,0.8,Name/epithet requiring verification,proper_noun,"i, (4) Apnuvana and (5) Aurva. The Brihmal)as born of this Gotra do regularly follow the Vedas and S...",Part 9,Page 80,104.80000000000001,S
Sudra,126,0.8,Name/epithet requiring verification,proper_noun,"30 I Lil'lga installed by Rima, 301 Lil'lga made of sand, 298 Lil'lga or Vi,i,u worshipped by a Sudr...",Part 8,Page 382,100.80000000000001,S
Scion,124,0.8,Name/epithet requiring verification,divine_epithet,"a burden unto the earth, 0 great king, 0 Lord, 0 lover of Sita. I am unable to bear this grief, 0 Sc...",Part 8,Page 309,99.2,S
Slowly,124,0.8,Name/epithet requiring verification,divine_epithet,"a himself."" 50. On being told thus, he became greatly agitated. He wiped his face with his hand. Slo...",Part 2,Page 237,99.2,S
Sports,121,0.8,Name/epithet requiring verification,sacred_place,"ulogize §iva 143 16. Description of the Temple of Arul)Acala by Brabmi and V~i,u 145 17. The Sports ...",Part 3,Page 4,96.80000000000001,S
Stage,120,0.8,Name/epithet requiring verification,divine_epithet,61 be worshipped).' 'Fhough I am only one. I have become five as in the case of a Stage Manager in t...,Part 6,Page 72,96.0,S
Suns,118,0.8,Name/epithet requiring verification,divine_epithet,dy was that of the Daughter of the Mountain. The Trident- bearing Lord had the lustre of a crore of ...,Part 8,Page 194,94.4,S
Species,115,0.8,Name/epithet requiring verification,divine_epithet,"236 Sknnda Puriu_,a Neem, Nauc:lea cadamba, lxora Bandhucca (Species of A§oka) Bilva (Bassia latifol...",Part 7,Page 247,92.0,S
Sunday,111,0.8,Name/epithet requiring verification,divine_epithet,Rites for Special Attainments Nandikesvara said: 1. If anyone worships the Lord of So1;1adri on a Su...,Part 3,Page 124,88.80000000000001,S
Sukra,109,0.8,Name/epithet requiring verification,divine_epithet,seeing this all the Ga-:ias became bewildered and fright- ened. They reported all the activities of ...,Part 6,Page 152,87.2,S
Sivitri,107,0.8,Name/epithet requiring verification,divine_epithet,"ijayi. 42. 0 goddess of Suras, you are resorted to by Brahma, Vi,r,u, Mahe§a and others. You are Siv...",Part 9,Page 122,85.60000000000001,S
Sipra,103,0.8,Name/epithet requiring verification,divine_epithet,"u, Kr~i:ia. Vei:iT. Yamunll, Sarasvati, Godavari, Vipisa, Narmada, Tamasli, Mahi, Kaveri. Sarayu, Si...",Part 6,Page 77,82.4,S
Someone,101,0.8,Name/epithet requiring verification,divine_epithet,tt·d by her father too. l!>l-152. A hoon has been granted to her hy the delighted Lord Sarhbhu: ·(So...,Part 11,Page 187,80.80000000000001,S
Chowries,100,0.8,Name/epithet requiring verification,divine_epithet,"s, divine garlands, divine scents, excellent incenses etc. There should be sweet songs and hymns. Ch...",Part 5,Page 253,80.0,S
Sruti,97,0.8,Name/epithet requiring verification,divine_epithet,ha (the Lord of the universe) protect my nose. 15. May the Lord whose glory has been sung by the Sru...,Part 9,Page 343,77.60000000000001,S
Somesvara,97,0.8,Name/epithet requiring verification,divine_epithet,"this river. Formerly, some sages came to the holy region of Prabhisa with a desire to view Lord Some...",Part 20,Page 234,77.60000000000001,S
Siddhesvara,94,0.8,Name/epithet requiring verification,sacred_place,ent shrine of Gandharvesvara situated within a dis- tance of five Dhanus to the north thereof (i.e. ...,Part 20,Page 310,75.2,S
Sveta,92,0.8,Name/epithet requiring verification,divine_epithet,"Lord Sankara, she went back to Amarivati, the beautiful city of lndra. The demoness (who harassed Sv...",Part 8,Page 272,73.60000000000001,S
Sure,92,0.8,Name/epithet requiring verification,divine_epithet,"ers. You are Sivitri, Sri and Umi; you have the status of Miti ('mother'). 43. Brahma, Vi,9u and Sur...",Part 9,Page 122,73.60000000000001,S
Subtle,87,0.8,Name/epithet requiring verification,divine_epithet,"bestows conjugal bliss unto women) 97!. Svargani:t,irei,iki (The ladder unto heaven) 974. Suqmi (Sub...",Part 10,Page 311,69.60000000000001,S
Siddha,84,0.8,Name/epithet requiring verification,divine_epithet,"of great pious observances addressed the prince herself. 128-130. ""Who are you? A Deva? A king? A Si...",Part 9,Page 319,67.2,S
Smrti,83,0.8,Name/epithet requiring verification,divine_epithet,acii is glorified as the Gotra-deity. The Brihmai:ias born in this family are devoted to Sruti and S...,Part 9,Page 237,66.4,S
Spirit,82,0.8,Name/epithet requiring verification,divine_epithet,ver reach his tongue or ear. 28-31. The sage later on died and immediately became a Pisiica (Evil Sp...,Part 7,Page 79,65.60000000000001,S
Stop,81,0.8,Name/epithet requiring verification,divine_epithet,"mented by Kandarpa (god of Love). 44-45. ""O my lord of large lovely eyes, handsome in every limb! St...",Part 9,Page 325,64.8,S
Scrupulously,81,0.8,Name/epithet requiring verification,divine_epithet,", study of the Vedas, libations to the ances- tors and the worship of cows'l gods and guests. 24. Sc...",Part 9,Page 338,64.8,S
Siidras,81,0.8,Name/epithet requiring verification,divine_epithet,"e kept apart for the Gotra deity. When a son is born, the merchant makes it twice of that. To the Si...",Part 9,Page 247,64.8,S
Swan,80,0.8,Name/epithet requiring verification,divine_epithet,") and Anantla (bliss). Obeisance to you, 0 Hirar;iyagarbha. Obeisance to you always, 0 Lord having S...",Part 20,Page 302,64.0,S
Siti,80,0.8,Name/epithet requiring verification,divine_epithet,a period of fourteen months and ten days. Rima began to rule the kingdom in his forty-second year. S...,Part 9,Page 171,64.0,S
Surely,78,0.8,Name/epithet requiring verification,divine_epithet,", I have been wicked! Many living beings were killed by me. Even Lord Mahadeva was censured by me. S...",Part 16,Page 137,62.400000000000006,S
Srutis,77,0.8,Name/epithet requiring verification,divine_epithet,"e second deity is Yak,il)i. Those born iri this Gotra are scholars engaged in rites laid down in Sru...",Part 9,Page 229,61.6,S
Succinctly,77,0.8,Name/epithet requiring verification,divine_epithet,"worship Hf$Ikeia. the Lord of Devas, with great devotion with the mind fully centred on the Lord. Su...",Part 6,Page 194,61.6,S
Sura,76,0.8,Name/epithet requiring verification,proper_noun,"iest, read it out. He strictly adheres(-ed) to the code of good conduct and holy observances. Sri Su...",Part 8,Page 376,60.800000000000004,S
Swans,76,0.8,Name/epithet requiring verification,divine_epithet,he peak of that mountain in order to grant boons unto Taraka. 46. Seated in his chariot drawn by Swa...,Part 2,Page 140,60.800000000000004,S
Sudarsana,72,0.8,Name/epithet requiring verification,proper_noun,"at sage named Ahirbudhnya2 who had fulfilled his religious vows, perf armed penance and worshipped S...",Part 8,Page 155,57.6,S
Suka,70,0.8,Name/epithet requiring verification,divine_epithet,". 1be devotee should with single-minded devotion think about Prahlida, Nirada, Vyisa, Arilbarita, Su...",Part 8,Page 355,56.0,S
Sthina,69,0.8,Name/epithet requiring verification,divine_epithet,the deity here. She is the giver of peace in the rites of Santi type. Thus (ends) the fifty-fifth St...,Part 9,Page 242,55.2,S
Summer,69,0.8,Name/epithet requiring verification,divine_epithet,"ou, 0 Lord of the universe, who are the source of heat, rain, shower and cold (i.e. three seasons, S...",Part 19,Page 87,55.2,S
Sugriva,69,0.8,Name/epithet requiring verification,divine_epithet,"sing the ocean, I will kill the lord of Rik~asas."" After taking this vow, Rima started southwards. S...",Part 9,Page 168,55.2,S
Surya,69,0.8,Name/epithet requiring verification,divine_epithet,"in front of him, O goddess of Devas. Being highly pleased he spoke to Narada, the leading sage: Sury...",Part 20,Page 316,55.2,S
Sire,68,0.8,Name/epithet requiring verification,divine_epithet,"d, 0 Lord of Devas, 0 Lord of the universe, I shall install you (here) with my name (prefixed), 0 Si...",Part 7,Page 177,54.400000000000006,S
Siirya,66,0.8,Name/epithet requiring verification,divine_epithet,"o visit it, 0 Moon-crested Lord. Suta said: Then all these (following) went there: Skanda, Rudra, Si...",Part 9,Page 75,52.800000000000004,S
Slain,65,0.8,Name/epithet requiring verification,divine_epithet,ted on a lion. She shone brilliantly with three folds over her navel. CHAPTER ELEVEN Maht1iisura Sla...,Part 3,Page 78,52.0,S
Sivaloka,64,0.8,Name/epithet requiring verification,divine_epithet,"its namejalaprabhisa spread over the earth. 0 goddess, by touching it, a man will be able to go to S...",Part 20,Page 130,51.2,S
Smoke,63,0.8,Name/epithet requiring verification,divine_epithet,"s), ~ (Quick-paced), Pratiatll&iiralca (Sustainer of vital airs). 15. Dhanvantari, Dhufl&IU&6tu (Smo...",Part 20,Page 277,50.400000000000006,S
Svara,63,0.8,Name/epithet requiring verification,divine_epithet,"Lord, 0 goddess of Devas. He obtained Giindharoa (proficiency in music) embellished with the seven S...",Part 19,Page 291,50.400000000000006,S
Smara,61,0.8,Name/epithet requiring verification,divine_epithet,"top, stop. Where do you intend to go? Come and embrace me and enjoy me tormented inordi- nately by S...",Part 9,Page 326,48.800000000000004,S
Slave,61,0.8,Name/epithet requiring verification,divine_relation,"6fn Siva, service rendered unknowingly to 63 Siva, worship of 96 Sivlgama 113 Sivayogins 109 Slave, ...",Part 3,Page 200,48.800000000000004,S
Snana,59,0.8,Name/epithet requiring verification,proper_noun,"an a Prastha is not recommended. 141. Acamanfyaka should be offered with Dhupa. light, Naivedya, Sna...",Part 5,Page 188,47.2,S
Supernatural,57,0.8,Name/epithet requiring verification,divine_epithet,spouses of Devas beginning with Saci; wives of Moun- tain(-gods) like Mena (the wife of Himalaya); S...,Part 7,Page 279,45.6,S
Star,57,0.8,Name/epithet requiring verification,divine_epithet,"has. The foot of Narayar.ia, the source of origin of the universe, is the support of Dhruva (Pole St...",Part 13,Page 150,45.6,S
Sida,56,0.8,Name/epithet requiring verification,divine_epithet,the trident-bearing one. Obeisance to the eternal lord worthy of being meditated upon by Yogins. Sid...,Part 8,Page 344,44.800000000000004,S
Simultaneously,56,0.8,Name/epithet requiring verification,divine_epithet,"d tore me with your claws. 0 fair one, I was brought to the presence of Lord Saligameivara by you. S...",Part 13,Page 260,44.800000000000004,S
Science,55,0.8,Name/epithet requiring verification,divine_epithet,"ing a shrine, he spoke to him with palms joined in reverence: • 'O lord, 1 am conversant with the Sc...",Part 5,Page 103,44.0,S
Somehow,55,0.8,Name/epithet requiring verification,proper_noun,alities will develop gradually. He should worship Hari in all the Tirthas with dedicated feelings. S...,Part 7,Page 184,44.0,S
Sumati,54,0.8,Name/epithet requiring verification,divine_relation,s hospitable to guests. He was a worshipper of Siva and Niriya9a. That Yajfiadeva had a son named Su...,Part 8,Page 229,43.2,S
Skulls,54,0.8,Name/epithet requiring verification,divine_epithet,ra has been briefly described to you. It is destructive of all sins. CHAPTER NINE The Garland of Sku...,Part 19,Page 66,43.2,S
Sitta,53,0.8,Name/epithet requiring verification,divine_epithet,e. He is also the vital essence of the Lotus-born (Brahma). Why did he resort to Prabhasa ~etra? Sit...,Part 19,Page 70,42.400000000000006,S
Slay,53,0.8,Name/epithet requiring verification,divine_epithet,"the sole protection unto us. 48. Save, save, 0 great goddess. Protect, protect, 0 great goddess. Sla...",Part 9,Page 123,42.400000000000006,S
Somesa,50,0.8,Name/epithet requiring verification,divine_epithet,"Linga at the centre of the ~etra is worshipped knowing (or in the belie0 that it is Somesa, Lord Som...",Part 20,Page 404,40.0,S
Showers,50,0.8,Name/epithet requiring verification,divine_epithet,"re every night for visiting the Lord, is superhuman. Different kinds of prayerful words are heard. S...",Part 5,Page 42,40.0,S
Swords,50,0.8,Name/epithet requiring verification,divine_epithet,"ious kinds of weapons were hurled. 0 great goddess, many vomited much blood for the sake of gold. Sw...",Part 13,Page 31,40.0,S
Slcantla,49,0.8,Name/epithet requiring verification,divine_epithet,"608 Slcantla Puni~a Divakara, the Sun-god, the Lord of Devas, was installed on the banks of a river ...",Part 20,Page 247,39.2,S
Spear,48,0.8,Name/epithet requiring verification,divine_epithet,"On seeing his army stripped of all their weapons, Durga, the great Asura, seized a burning Sakti (Sp...",Part 11,Page 228,38.400000000000006,S
Skandal,47,0.8,"Related to: Name of the god of war, son of Śiva and Pārvatī",sacred_place,81 water from Tirtha 53 wealth acquired by justifiable means 53 wcanna lhc fruit of Dhltrf 118 Skand...,Part 6,Page 311,37.6,S
Suklatirtha,47,0.8,Name/epithet requiring verification,proper_noun,"aga, the excellent benefit from Trivei,i, the greatness of the sacred place at Prayiga and that of S...",Part 9,Page 193,37.6,S
Surabhi,46,0.8,Name/epithet requiring verification,divine_epithet,"it be so"" (and went away). 45b. Then lord Niriyai:ia spoke to Mudgala: 46-49a. ""With the milk of Sur...",Part 8,Page 256,36.800000000000004,S
Subhadra,45,0.8,Name/epithet requiring verification,divine_epithet,SkandaPurlna • vilion with face to the South and seated in the chariot along with Balarima and Subha...,Part 5,Page 217,36.0,S
Sivaratri,44,0.8,Name/epithet requiring verification,divine_epithet,"weapons, the pil- grim should perform rites like offering balls of rice etc., particularly on the Si...",Part 20,Page 59,35.2,S
Svanaya,44,0.8,Name/epithet requiring verification,divine_epithet,time serving the Lord of VedaraQya who bestows worldly pleasures and salvation. The saintly King Sva...,Part 8,Page 123,35.2,S
Scholars,44,0.8,Name/epithet requiring verification,divine_epithet,"n gods Asvins, Yak~as, Pisacas, Sadhyas, Pitrs (Manes) and Guhyakas were born. Then were born the Sc...",Part 9,Page 74,35.2,S
Stupid,44,0.8,Name/epithet requiring verification,divine_epithet,deluded excellent men conversant with reality. 5. Wonderful indeed is the activity of the Lord. Stup...,Part 7,Page 87,35.2,S
Svaha,43,0.8,Name/epithet requiring verification,divine_epithet,"m~as. 151-152. You are born fron1 the splendour of Rudra, the goddess (Parvati), Ganga, Krttikas, Sv...",Part 2,Page 281,34.4,S
Smilingly,42,0.8,Name/epithet requiring verification,divine_epithet,the Lord whose eyes were bedimmed with tears of joy displaying the state of enjoy• ment of bliss. Sm...,Part 19,Page 28,33.6,S
Slranda,41,0.8,Name/epithet requiring verification,divine_epithet,"52 Slranda Pum,a Hiiakesvara by means of dust particles. It is a place where Lord Hara is present hi...",Part 16,Page 43,32.800000000000004,S
Sudras,41,0.8,Name/epithet requiring verification,divine_epithet,". At the behest of the king, they went to the Brihmai:ia-colony for preventing them. Some of the Sud...",Part 9,Page 206,32.800000000000004,S
Sthana,40,0.8,Name/epithet requiring verification,divine_epithet,glorified as the family deity here. Thus (ends) the forty-fifth Sthina. 244-24 7. The forty-sixth St...,Part 9,Page 240,32.0,S
Snow,39,0.8,Name/epithet requiring verification,divine_epithet,"gion of the three worlds became filled with flames. 82. On account of that cluster of flames, the Sn...",Part 2,Page 160,31.200000000000003,S
Sunda,38,0.8,Name/epithet requiring verification,divine_epithet,738 Sunda Puni~a 37. Lord Rudra will burn down the three worlds along with the mobiles and immobiles...,Part 20,Page 377,30.400000000000002,S
Sraddhas,37,0.8,Name/epithet requiring verification,divine_epithet,"sages in view, it is as good as the performance of Vedic studies, of sacrifices and of a hundred Sra...",Part 7,Page 131,29.6,S
Somanatha,37,0.8,Name/epithet requiring verification,divine_epithet,"Bilesvara there, one will acquire all cherished desires. CHAPTER TWO HUNDRED NINETY Greatness of Som...",Part 20,Page 292,29.6,S
Signs,36,0.8,Name/epithet requiring verification,divine_epithet,ip the Lord of SoJ;tiidri in the forenoon 1. VV 30-46 list the flowers to be offered on different Si...,Part 3,Page 127,28.8,S
Sundays,36,0.8,Name/epithet requiring verification,proper_noun,"nd worships the L~rd, he reaches the region of Brahman. 128b-131. When the new-moon day occurs on Su...",Part 9,Page 267,28.8,S
Silla,35,0.8,Name/epithet requiring verification,divine_epithet,"0 Lord of Siti. After eulogizing thus all the sages became silent, 0 excellent Brihmai:ias. Sri Sill...",Part 8,Page 304,28.0,S
Sipri,34,0.8,Name/epithet requiring verification,proper_noun,l have happiness as long as Candra and Surya exist. If men take their holy ablution in the sacred Si...,Part 13,Page 276,27.200000000000003,S
Sindhu,34,0.8,Name/epithet requiring verification,divine_epithet,ree rivers. The following holy Tirthas1 are very difficult of access for holy bath during Karuika: S...,Part 6,Page 77,27.200000000000003,S
Srinivasa,33,0.8,Name/epithet requiring verification,divine_epithet,"a, the deity to the south of the Tirtha. He then went to the abode of Venkatesa and bowed down to Sr...",Part 4,Page 158,26.400000000000002,S
Siantla,32,0.8,Name/epithet requiring verification,divine_epithet,"!24 Siantla Punina . 9. 0 Brihma9a, there is nothing mysteriously surprising in ~ this. The Miyi of ...",Part 10,Page 328,25.6,S
Slumber,30,0.8,Name/epithet requiring verification,divine_epithet,"whose body is touched by the waves of the Ocean of Milk. 13. Orh, salute to the Lord having Yogic Sl...",Part 7,Page 176,24.0,S
Svadha,30,0.8,Name/epithet requiring verification,divine_epithet,"aruaja, Paulomi, Surasa, Si:mhika, Surabhi, Muni, Siddhi, Maya, K$ama, the goddess, Durga, Svaha, Sv...",Part 2,Page 228,24.0,S
Sundara,30,0.8,Name/epithet requiring verification,divine_epithet,and advised her about her righteous duties. 18-21. • 'In the previous Kai pa he was a king named Sun...,Part 7,Page 46,24.0,S
Svargadvara,30,0.8,Name/epithet requiring verification,divine_epithet,"is, Mar:iibhadra brought his son to the place where the Lord of Devas was present to the south of Sv...",Part 13,Page 288,24.0,S
