Name/Word,Frequency,Confidence_Score,Script Type,Found Form,Language,Monier Williams Meaning,Etymology,Page#,Part#,Context/Line#,Proper Noun/Epithet/Place,Notes
Since,1132,0.8,roman,Since,Mixed,Name/epithet requiring verification,Unknown,Page 382,Part 9,"births (is the sure fate) of those women who create estrangement between husband and wife.- 23. Since in her previous birth she had performed a great worship of mine, that merit had destroyed the enti",divine_relation,"Pattern: sa, Important: False, Confidence: 0.8"
sake,1061,0.7,roman,sake,Mixed,Name/epithet requiring verification,Unknown,Page 285,Part 9,some noble-souled devotees shun completely the intoxicating beverage of mundane pleasures for the sake of Siva worship. They even cast off their bodies which is usually very difficult to do. 7. That,proper_noun,"Pattern: sa, Important: False, Confidence: 0.7"
Sacred,1015,0.8,roman,Sacred,Mixed,Name/epithet requiring verification,Unknown,Page 36,Part 9,showered flowers and became highly delighted. Divine drums were beaten. Eminent Gandharvas sang. Sacred winds blew and groups of celestial damsels danced. Suta said: 69-70. Sadisiva who was propitiate,divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Sri,1009,0.8,roman,Sri,Mixed,Name/epithet requiring verification,Unknown,Page 414,Part 9,"een Matangi and Demon Kan,ita, 115 fight between the demons and the monkevs, 159 fight betw~.en Sri-Mata (Mother Divine) and Lolajihva, 8.l fight ensued between Lohisura and Indra, 151 fight ensu",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Stay,989,0.8,roman,Stay,Mixed,Name/epithet requiring verification,Unknown,Page 128,Part 9,"ind. The Brahmar.ias said: 129. 0 goddess, we shall give oblations of whatever you may think of. Stay on here for the protection of our couples. The goddess said: 130-133. Let all the Brihmai,as be h",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Seeing,982,0.8,roman,Seeing,Mixed,Name/epithet requiring verification,Unknown,Page 294,Part 9,"h the boys, the Brihmai:ia lady happened to enter a temple. The temple was full of elderly sages. Seeing the boys the wise sage SiQ(jdya said: 50-55. ""Ha! Wonderful indeed is the might of fate! Ha! Th...",sacred_place,"Pattern: se, Important: False, Confidence: 0.8"
Cause,932,0.8,roman,Cause,Mixed,Name/epithet requiring verification,Unknown,Page 410,Part 2,"r), (46) Srtla (Lord of glory). (41) Bhi1agvara (Most excellent among physicians), (48) Alokakrt (Cause of brilliance), (49) Lokaniitha (Lord of worlds), (50) Lokapiilanamaskrta (One who is bowed to b...",divine_epithet,"Pattern: cha_ca, Important: False, Confidence: 0.8"
child,774,0.7,roman,child,Mixed,Name/epithet requiring verification,Unknown,Page 386,Part 9,sacred thread by the preceptor at the proper time. He earned the reputation of being a Saradeya ( 'child of Sarada' or 'one pertaining to Goddess Sarasvati i.e. highly learned'). He delighted the mind...,divine_epithet,"Pattern: chi, Important: False, Confidence: 0.7"
Sankara,751,0.8,roman,Sankara,Mixed,Name/epithet requiring verification,Unknown,Page 423,Part 9,"of the ruler of Vidarbha, 2s, wonhip at the time of PAdo'3, 282, 299 Skanda PMrilf)a wonhip of Sankara on every Caturdaii day, 275 worship of Siva, 271, !O I worship with faith, !162 writing on the",proper_noun,"Pattern: sa, Important: False, Confidence: 0.8"
Soul,741,0.8,roman,Soul,Mixed,Name/epithet requiring verification,Unknown,Page 106,Part 9,"Mahavi~i:iu, the lord of Devas."" Brhaspati said: 45. I do not know why Acyuta, Hari, the Supreme Soul has become Yogii.ri.ufha ('merged in the Yogic abstraction and absorp- tion'). Vi~r:iu is the lord",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
seeds,734,0.7,roman,seeds,Mixed,Name/epithet requiring verification,Unknown,Page 419,Part 9,"man, 50 waking up Kuthbhakan:ia, 160 water wafted by sweeping, 61 white ants, 97 white gingelly seeds, 40 widow, 58t 59 women, 20 Skanda PurilTJ,a women in the nude, 49 worship of Mitangi, 122 Ya",proper_noun,"Pattern: se, Important: False, Confidence: 0.7"
case,729,0.7,roman,case,Mixed,Name/epithet requiring verification,Unknown,Page 408,Part 9,"will be meditating on the Lord of the uni- verse and then will attain salvation. Liberation in the case of one who meditates on the lotus-like feet of Siva, is possible in a single birth. There is no ...",divine_epithet,"Pattern: cha_ca, Important: False, Confidence: 0.7"
Sraddha,724,0.8,roman,Sraddha,Mixed,Name/epithet requiring verification,Unknown,Page 370,Part 8,"sin."" 138-139. After having worshipped thus. 0 eminent Brihmar,as, the devotee should perform the Sraddha with gold, uncooked (rice, etc.) or cooked food as offering. Thereafter, he should perform the...",proper_noun,"Pattern: sa, Important: False, Confidence: 0.8"
Second,690,0.8,roman,Second,Mixed,Name/epithet requiring verification,Unknown,Page 141,Part 5,d away. The Lord and the ultimate Mansion-these two alone remain. Now it is the first Yuga of the Second Manu Svlroci.-. Since you have Downloaded from https://www.holybooks.com,divine_epithet,"Pattern: se, Important: False, Confidence: 0.8"
cannot,690,0.7,roman,cannot,Mixed,Name/epithet requiring verification,Unknown,Page 334,Part 9,"assets. 63 It does not behove you to grieve over anything as the, (eff ~cts or fruits oO Karmas cannot be evaded, Kala (god of Death) caunot be dodged and no object is permanent. 64. Where is fixity",divine_epithet,"Pattern: cha_ca, Important: False, Confidence: 0.7"
Chariot,677,0.8,roman,Chariot,Mixed,Name/epithet requiring verification,Unknown,Page 212,Part 5,"11.ii.34.1-12 203 CHAPTER THIRTYFOUR In Prai.~e of the Chariot-Proce.,;sion Jaimini said: 1-4. The Lord is seated to the south of the lake that formed part of",divine_epithet,"Pattern: cha_ca, Important: False, Confidence: 0.8"
Chief,672,0.8,roman,Chief,Mixed,Name/epithet requiring verification,Unknown,Page 59,Part 4,"e sword and bow- ing down to Kesava said to him: ""Why is this act being done by you, 0 Lord of the Chief of Devas?"" Sri Bhagavan replied: 1S-16. 0 Vasu, listen to my words. Your son is devoted to me. ...",divine_epithet,"Pattern: chi, Important: False, Confidence: 0.8"
Son,653,0.8,roman,Son,Mixed,Name/epithet requiring verification,Unknown,Page 417,Part 9,"bhik,akas, 42 six duties of BrihmaQas, 176 six enemies, 33 slandering, 190 sleeping naked, 5 I Son of the Wind-god, J 83, 241 speaking the truth that is not pleasing, 52 speaking the untruth that",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Serpent,630,0.8,roman,Serpent,Mixed,Name/epithet requiring verification,Unknown,Page 329,Part 7,"39. In that vast sheet of water of that general inundation, on a bed of the (body of the) great Serpent, Lord Vairaja Puru~ called Aniruddha lies (sleeps). Downloaded from https://www.holybooks.com",divine_epithet,"Pattern: se, Important: False, Confidence: 0.8"
South,620,0.8,roman,South,Mixed,Name/epithet requiring verification,Unknown,Page 94,Part 9,lean and decorated with festoons. Lord Dharme~vara was installed in the East; Gai:ianayaka in the South; the Sun was installed in the West and the Self-born Lord in the North. The story of the origin ...,divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Secret,598,0.8,roman,Secret,Mixed,Name/epithet requiring verification,Unknown,Page 8,Part 11,va 11rthas 6~. l\1amfestation of the Bull-emhlemc·d Lord 6~. The Story of Jyt•sthcsa frt I I le Secret of Jye~thesvara 65 Mamfestation of Parasaresvarach Lingas 66. Sailesa Lmd Other Lingas fi7. In P,divine_epithet,"Pattern: se, Important: False, Confidence: 0.8"
Sweet,597,0.8,roman,Sweet,Mixed,Name/epithet requiring verification,Unknown,Page 305,Part 9,Verily he is the ocean of the nectar of beauty of form. His eyes are large and tremulously roving. Sweet smile adds to his attractiveness. He can be compared to the god of Love in his glorious form. H...,divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
stood,575,0.7,roman,stood,Mixed,Name/epithet requiring verification,Unknown,Page 410,Part 9,"ng the Lord, she became thrilled and bowed frequently. Tears of joy flowed and drenched her. Hairs stood on end all over her body. She was kindly honoured by Parvati and Sankara. 116. Obtaining a perm...",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.7"
Sacrifice,561,0.8,roman,Sacrifice,Mixed,Name/epithet requiring verification,Unknown,Page 132,Part 20,"ful benefit of Rijasiiyas and Asvamedhas. CHAPTER ONE HUNDRED NINETYNINE Destruction of Dak~a' s Sacrifice isvara said: 1-3. Thereafter, 0 great goddess, a pilgrim should go to the shrine of Lord Kfta...",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Sakra,541,0.8,roman,Sakra,Mixed,Name/epithet requiring verification,Unknown,Page 106,Part 7,All of them then began to argue. Some knew that the Sun-god was the greatest (god). Some said that Sakra (was the greatest) and some (said that) Kama (was the greatest). Some kept quite. Unable to com...,divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
State,536,0.8,roman,State,Mixed,Name/epithet requiring verification,Unknown,Page 166,Part 9,"Engaged in worshipping the pair of sandals of Rima, both of them looked after the affairs of the State. 20. After visiting the great-souled Atri, he (Rama) came to Dal}c;laka forest where, as a begin",proper_noun,"Pattern: sa, Important: False, Confidence: 0.8"
Seek,530,0.8,roman,Seek,Mixed,Name/epithet requiring verification,Unknown,Page 264,Part 5,"helpless. 17. Oo there, 0 Brihmai,as; stay there with mental and bodily purity and concentration. Seek refuge in the pair of lotus-like feet of the Lord of Sn. . 18. If you wish for perpetual enjoyme",divine_epithet,"Pattern: se, Important: False, Confidence: 0.8"
Seat,526,0.8,roman,Seat,Mixed,Name/epithet requiring verification,Unknown,Page 264,Part 11,"the story of Trivi~tapa, in the manner in which it has been narrated by the Lord. 4. That Pi~ha (Seat of holiness) is called Viraja. The Liriga there is Trivi~iapa. By visiting that Pitha, a man becom",divine_epithet,"Pattern: se, Important: False, Confidence: 0.8"
servants,512,0.7,roman,servants,Mixed,Name/epithet requiring verification,Unknown,Page 406,Part 9,"ii:ias concerning the chiefs of gods. 68. The expounder of the Purir.ias was heard saying, ""The servants of Yama in Naraka will insert red hot iron bars into the vaginal passage of the women who were ...",divine_epithet,"Pattern: se, Important: False, Confidence: 0.7"
Supreme,505,0.8,roman,Supreme,Mixed,Name/epithet requiring verification,Unknown,Page 297,Part 9,"en perform the Nyasa rite of the Matrkis (syllables of the alphabet) duly after meditating on the Supreme Deity. Concluding the ritualistic touching of the limbs, uttering the Mitrkis again, he should...",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Splendour,496,0.8,roman,Splendour,Mixed,Name/epithet requiring verification,Unknown,Page 137,Part 3,"f incompr-ehensible nature. 28. If either of us finds out the root or the top of this Self• born Splendour, he is the superior of us. He is the Lord of the worlds too. Nandikesvara said: 29. Thus both...",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
side,490,0.7,roman,side,Mixed,Name/epithet requiring verification,Unknown,Page 304,Part 9,"head and went home highly delighted. 89. With great excitement, he brought the treasure trove in- side the house and spoke to his mother: 90. ""Mother, mother, see the favour of (gift from) the Lord o",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.7"
Sound,488,0.8,roman,Sound,Mixed,Name/epithet requiring verification,Unknown,Page 145,Part 5,"Yajfta. You are the lord of Y ajfta, greater than the greatest. You are the great ~abda Brahman (Sound as the Supreme Being or the Vedas). •er the Pur11.- SDkta (RV X.90). The eulogy iA a Purl1,1ic ve...",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Single,486,0.8,roman,Single,Mixed,Name/epithet requiring verification,Unknown,Page 95,Part 9,"ll bring about the welfare of the entire family. 25. The Self.-born Lord (Brahma) worshipped the Single-tusked Ekadanta, Pivara (the stout one), the great lord worshipped by the Suras, on the southern",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Setu,480,0.8,roman,Setu,Mixed,Name/epithet requiring verification,Unknown,Page 369,Part 8,"358 Slcanda PuriltJ,Q the Setu, the bestower of salvation. He should then properly meditate on Righava, the lord of the universe,",divine_epithet,"Pattern: se, Important: False, Confidence: 0.8"
children,476,0.7,roman,children,Mixed,Name/epithet requiring verification,Unknown,Page 397,Part 9,"trvadha·(Matricide). There is one daughter named Brahmahatya (Brihmar.ia-slaughter). These are the children of Krodha (Anger). 30. DevasvahararJ.a (Misappropriation of temple property), Brahmasvaharar...",sacred_place,"Pattern: chi, Important: False, Confidence: 0.7"
Shrine,466,0.8,roman,Shrine,Mixed,Name/epithet requiring verification,Unknown,Page 264,Part 9,t sins. It is 1. A famous sacred place in North Kamataka kn()w~ for the famous ~iva (Mahibalehan) Shrine. But its glorification in this Puri9a i1 notewonhy. Downloaded from https://www.holybooks.com,sacred_place,"Pattern: sa, Important: False, Confidence: 0.8"
Service,460,0.8,roman,Service,Mixed,Name/epithet requiring verification,Unknown,Page 86,Part 9,"d the cow Kamadhenu who came there in- stantaneously to the sacred Dharmara1_1ya. CHAPTER TEN The Service Rendered by the Merchant Class Vyasa..vaid: 1. Listen, 0 king, to what happened at Dharmarai:i...",proper_noun,"Pattern: se, Important: False, Confidence: 0.8"
Suta,460,0.8,roman,Suta,Mixed,Name/epithet requiring verification,Unknown,Page 401,Part 9,"est place of the Moon-crested Lord. CHAPTER TWENTYIWO The Efficacy of Listening to the Pura1_1,a Suta said: 1. Thus the most auspicious and beneficial path has been shown clearly by Siva himself. It",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
severe,460,0.7,roman,severe,Mixed,Name/epithet requiring verification,Unknown,Page 328,Part 9,"rahmai:ias and their sons. As per advice of Bharadvaja, he served and worshipped the goddess with severe vows and observances. 82. Thus, for three nights, the king eschewed completely his meals and re...",divine_epithet,"Pattern: se, Important: False, Confidence: 0.7"
Struck,453,0.8,roman,Struck,Mixed,Name/epithet requiring verification,Unknown,Page 42,Part 13,"due to that blow and so sat down; his elephant Airivata was struck on his forehead with the fist. Struck down sqddenly by him, the lordly elephant gave out awfully terrible cries. Exces- sively fright...",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Sarasvati,442,0.8,roman,Sarasvati,Mixed,"Related to: Reed bed, birthplace of Kārttikeya",from śara (reed) + vaṇa (grove),Page 386,Part 9,me. He earned the reputation of being a Saradeya ( 'child of Sarada' or 'one pertaining to Goddess Sarasvati i.e. highly learned'). He delighted the minds of the people. 78. The intelligent boy easily...,divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Siddhi,437,0.8,roman,Siddhi,Mixed,Name/epithet requiring verification,Unknown,Page 226,Part 9,"a, Soha, Hithaiija, Kapacjavi1.1aka, Vrajanhori, Vano(li, Phi1_1i, Vagola, Dn1a, Thalaji, Cirar,a, Siddhi, Bhalaja, Mahovi, Aiya, Malia, Godhari, Amata, Vat}lasuhali, Mar,aji, Sanadiya, Anancfiya, Pai...",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Still,436,0.8,roman,Still,Mixed,Name/epithet requiring verification,Unknown,Page 319,Part 9,dom by his enemies. He has been imprisoned along with his wife and kept under their control. 126. Still she continues to observe her splendid religious vows. The lady of pure heart worships Mahesvara ...,divine_relation,"Pattern: sa, Important: False, Confidence: 0.8"
Sent,428,0.8,roman,Sent,Mixed,Name/epithet requiring verification,Unknown,Page 171,Part 18,"ted in their minds. On getting (an opportunity for) Kavya, they were all the more delighted. 87. Sent off by the Lotus-born Lord, they went to their own abodes. On the Amavasya day (New Moon) Sraddha",divine_epithet,"Pattern: se, Important: False, Confidence: 0.8"
Sriddha,419,0.8,roman,Sriddha,Mixed,Name/epithet requiring verification,Unknown,Page 358,Part 8,take his bath in any of them. After taking the holy bath in all the Tirthas thus he shall perform Sriddha and other rites. 64-67. Afterwards he should go to Rimegvara and resort to (i.e. worship) Para...,proper_noun,"Pattern: sa, Important: False, Confidence: 0.8"
Sinful,413,0.8,roman,Sinful,Mixed,Name/epithet requiring verification,Unknown,Page 213,Part 20,"quarter crores of Tirthas. 10-12. If life is given up there, one rejoices in the world of Siva. Sinful ones, worms, birds and animals and all brutish beings too go to the greatest abode where Lord Mah...",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Slayer,407,0.8,roman,Slayer,Mixed,Name/epithet requiring verification,Unknown,Page 253,Part 9,"erity. Great sages say that the six-syllabled Mantra of Siva is of divine nature. 9. Just as the Slayer of Tripura is the greatest of all Devas, so also the six-lettered Mantra of Siva, orn namal:a si...",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Charitable,401,0.8,roman,Charitable,Mixed,Name/epithet requiring verification,Unknown,Page 365,Part 8,ever be (hereafter). Similarly the time of Mahodaya is proclaimed to be a sacred period. 81-85. Charitable gift in the Setu during these holy p~rinds is glorified. A Bribmal)a having the following goo...,proper_noun,"Pattern: cha_ca, Important: False, Confidence: 0.8"
slaughter,397,0.7,roman,slaughter,Mixed,Name/epithet requiring verification,Unknown,Page 397,Part 9,rodha (anger) and also Matrvadha·(Matricide). There is one daughter named Brahmahatya (Brihmar.ia-slaughter). These are the children of Krodha (Anger). 30. DevasvahararJ.a (Misappropriation of temple ...,sacred_place,"Pattern: sa, Important: False, Confidence: 0.7"
Seventh,390,0.8,roman,Seventh,Mixed,Name/epithet requiring verification,Unknown,Page 66,Part 11,a protects the city of isa in the north-east. He is to be worshipped in the north of Yama Tirtha. Seventh Circle of Vintiyakas: I shall mention the Vinayakas stationed on the seventh ex- ternal ring. ...,sacred_place,"Pattern: se, Important: False, Confidence: 0.8"
Sexual,390,0.8,roman,Sexual,Mixed,Name/epithet requiring verification,Unknown,Page 52,Part 13,"arrows by Brahma and was sent off. The fish-emblemed, mind-born god of Love, accompanied by Rati (Sexual Pleasures) and Pnti (Love), overcomes the three worlds. He is a bowman with accomplices overpow...",divine_epithet,"Pattern: se, Important: False, Confidence: 0.8"
chaste,390,0.7,roman,chaste,Mixed,Name/epithet requiring verification,Unknown,Page 381,Part 9,antra imparted (to her) by the noble- souled one. · 5-6. At dusk she duly worshipped Sankara. The chaste lady was engaged in Japa and Arcana in the presence of the preceptor in the apartment close to ...,proper_noun,"Pattern: cha_ca, Important: False, Confidence: 0.7"
chest,390,0.7,roman,chest,Mixed,Name/epithet requiring verification,Unknown,Page 388,Part 9,"round the neck, forty on the forehead, six in each of the ears and one hun- dred and eight on the chest. He who wears Rudrikfas thus is also worshipped like Rudra. 7. He who wears Rudrik~as set with p",proper_noun,"Pattern: che, Important: False, Confidence: 0.7"
Saying,389,0.8,roman,Saying,Mixed,Name/epithet requiring verification,Unknown,Page 376,Part 9,"it on this pedestal. Obeisance to you, the lord of sages. What can I do to propitiate you?"" 14. Saying this with very great devotion, she washed his feet and fanned him as he was weary. Thus she made ...",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Sacrifices,379,0.8,roman,Sacrifices,Mixed,Name/epithet requiring verification,Unknown,Page 358,Part 20,"e of sacrifice. I am to ~e praised and worshipped in all the sacrifices by excellent Brihmar:ias. Sacrifices are to be performed in (with reference to) me and oblations should be offered unto me."" 79....",proper_noun,"Pattern: sa, Important: False, Confidence: 0.8"
Seated,378,0.8,roman,Seated,Mixed,Name/epithet requiring verification,Unknown,Page 370,Part 9,"with divine garlands and clothes. 77. Devoutly he circumambulated his preceptor, the Sivayogin. Seated in a divine aerial chariot he went to the meritorious worlds. 78. After granting him the greatest",divine_epithet,"Pattern: se, Important: False, Confidence: 0.8"
Season,374,0.8,roman,Season,Mixed,Name/epithet requiring verification,Unknown,Page 44,Part 7,and for the good of Mrga too you go to the penance grove of Rudra accompanied by Vasanta (Spring Season). Manifest the features of Vasanta that cause flutter of love in the heart. When Goddess Parvati...,divine_epithet,"Pattern: se, Important: False, Confidence: 0.8"
Siddhas,367,0.8,roman,Siddhas,Mixed,Name/epithet requiring verification,Unknown,Page 266,Part 9,"on named Kurilbhakari:ia and the pious Vibhi~ai:ia performed penance here. These and other Devas, Siddhas, Dinavas, human beings pro- pitiated Siva, the Lord of the chiefs of Devas, at Gokafl}a with d...",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
strength,366,0.7,roman,strength,Mixed,Name/epithet requiring verification,Unknown,Page 117,Part 9,"ata Vyasa said: Slcanda Pura1J,a 1-5. 0 king, in the south was installed Goddess Santi of great strength. She wears garments of variegated colours and is be- decked in garlands of sylvan flowers. 0 gr...",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.7"
Speech,355,0.8,roman,Speech,Mixed,Name/epithet requiring verification,Unknown,Page 296,Part 9,"ce at the time of Pradofa. All the Devas then attend upon him (and eulogize). 77. The Goddess of Speech plays on the lute; the Lord of Devas, Indra, plays on the flute; the Lotus-born Brahma is active",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Chiefs,352,0.8,roman,Chiefs,Mixed,Name/epithet requiring verification,Unknown,Page 75,Part 4,is solden lotuses. 86--88. On being struck with wonder the excellent king ask- ed the Lord of the Chiefs of Devas: The king enquired: By whom are you worshipped with lotuses and leaves of· Tulasi made,divine_epithet,"Pattern: chi, Important: False, Confidence: 0.8"
causes,349,0.7,roman,causes,Mixed,Name/epithet requiring verification,Unknown,Page 259,Part 9,destruction of all those sins that appear to be ever ineradicable. 6. Devout worship of Paramesa causes the gre~test prosper- ity; it has been decisively pointed out in all scriptural texts as the gre...,proper_noun,"Pattern: cha_ca, Important: False, Confidence: 0.7"
Save,345,0.8,roman,Save,Mixed,Name/epithet requiring verification,Unknown,Page 358,Part 9,"me, 0 lord of the worlds. Protect me, 0 Sankara, the eternal one. Save me, 0 Rudra, 0 Viriipik~a. Save me, 0 Mrtyuiijaya ( 'the vanquisher of Death'), 0 immutable one. 61. 0 Sarhbhu having the moon f",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
Speak,342,0.8,roman,Speak,Mixed,Name/epithet requiring verification,Unknown,Page 310,Part 8,"ifying the faults of others. 0 monkey, always perform the worship of Siva, Vi!jQU and other Devas. Speak the truth al- ways. Avoid grief, 0 monkey. The ignorance of the identity with the Immanent Soul...",proper_noun,"Pattern: sa, Important: False, Confidence: 0.8"
Soma,338,0.8,roman,Soma,Mixed,Name/epithet requiring verification,Unknown,Page 339,Part 8,"three-eyed Rimanitha. Salute to you, the destroyer of Dakta's sacrifice. 0 Siva, do protect me. Soma said: 55. Obeisance to you, to the trident-bearing lord who is smeared with ash, to the lord hav",divine_epithet,"Pattern: sa, Important: False, Confidence: 0.8"
